SRGSR, Tilakakamod
SRGSP, Tilakakamod
SRGMR, Ramadasimalhar
SRGMG, Charukeshi or Chhayanat or Jaijaivanti
SRGMP, Charukeshi or Chhayanat or Jaijaivanti or Ramadasimalhar
SRGPG, Bhoopali or Deshkar or Hansadhwani or Janasammohini
SRGPD, Bhoopali or Deshkar or Janasammohini or Shuddha Kalyan
SRGPN, Hansadhwani
SRGPm, Shuddha Kalyan
SRMGP, Barawa
SRMPM, Barawa or Vrindavani Sarang or Durga or Gorakh Kalyan or Kafi or Madmaad Sarang or Soora Malhar
SRMPD, Barawa or Des or Durga or Kafi or Soora Malhar or Sorath or Tilakakamod or Jinjhoti
SRMPN, Vrindavani Sarang or Des or Soora Malhar or Sorath or Tilakakamod
SRMPg, Adana or Barawa or Jaunpuri or Nayaki Kanada
SRMPd, Adana or Jaunpuri
SRMPn, Madmaad Sarang or Nayaki Kanada
SRMDM, Gorakh Kalyan
SRMDn, Gorakh Kalyan
SRMgM, Darbari Kanada
SRgRS, Jaijaivanti
SRgMR, Shahanakanada
SRgMP, Kirvani or Shahanakanada
SRgMD, Abhogi or Shahanakanada
SRgMg, Abhogi or Kirvani
SRgPD, Kolahas or Shivaranjani
SRgPg, Kolahas or Shivaranjani
SRgrS, Bhairavi
SRmPG, Kamod or Shyam Kalyan
SRmPM, Shuddha Sarang
SRmPD, Kamod or Saraswati
SRmPN, Kamod or Shuddha Sarang or Shyam Kalyan
SRmPm, Saraswati or Shyam Kalyan
SGRGR, Bilawal
SGRGP, Bilawal
SGMRS, Hameer
SGMGR, Bihag or Bihagda or Nat Bhairav or Tilanga
SGMGM, Nat Bhairav
SGMGr, Paraj or Ramakali
SGMPS, Nand
SGMPG, Bihag or Bihagda or Tilanga
SGMPM, Jog or Khamaj or Mand or Nand or Nat Bhairav
SGMPD, Bihagda or Khamaj or Mand or Nand
SGMPN, Bihag or Bihagda or Tilanga
SGMPm, Bihag
SGMPd, Nat Bhairav
SGMPn, Jog
SGMDM, Bhinna Shadja or Rageshri
SGMDP, Nand
SGMDN, Bhinna Shadja
SGMDn, Rageshri
SGMNS, Hameer
SGMND, Hameer
SGMdP, Jogkauns or Ramakali
SGMdN, Jogkauns or Ramakali
SGMdn, Jogkauns or Ramakali
SGPRG, Shankara
SGPDP, Kalavati
SGPDN, Bilawal
SGPDn, Kalavati
SGPNP, Shankara
SGPND, Shankara
SGmPN, Amritvarshini
SGmPm, Amritvarshini
SGmDN, Hindol or Sohani
SGmDm, Hindol or Sohani
SGmdS, Paraj
SGmdP, Paraj
SGmdN, Paraj
SMRSR, Jinjhoti
SMRSM, Jinjhoti
SMRSn, Jinjhoti
SMRPG, Gaud Malhar
SMRPM, Gaud Malhar
SMRPD, Gaud Malhar
SMRPg, Malhar
SMRPn, Gaud Malhar or Malhar
SMGSM, Jinjhoti
SMGRS, Gaud Malhar
SMGPM, Kedar
SMGPD, Kedar
SMGPN, Kedar
SMGPm, Kedar
SMGmG, Basant or Marubihag
SMGmP, Marubihag
SMGmd, Basant
SMPDn, Jinjhoti
SMPnP, Bahaar
SMPnD, Bahaar or Gaud Malhar
SPDMG, Tilakakamod
SPDMP, Tilakakamod
SDMgR, Abhogi
SDMgM, Abhogi
SDPGR, Bhoopali or Deshkar
SDPGM, Kamod
SDPGP, Bhoopali or Deshkar or Jait
SDPGr, Jait
SDPMR, Durga
SDPMP, Durga
SDPNS, Kamod
SDPgR, Shivaranjani
SDPgP, Shivaranjani
SNSrS, Sohani
SNRGm, Rajakalyan or Yaman or Yaman Kalyan
SNPGR, Hansadhwani or Shankara
SNPGP, Hansadhwani or Shankara
SNPmG, Amritvarshini
SNPmP, Amritvarshini
SNDMG, Bhinna Shadja
SNDMD, Bhinna Shadja
SNDPS, Nand
SNDPG, Bihag or Bihagda or Hameer or Shyam Kalyan
SNDPM, Kedar or Mand or Nand or Patadeep or Shuddha Sarang
SNDPD, Bihagda or Kedar or Mand or Nand or Shuddha Kalyan
SNDPN, Bihag or Bihagda or Kedar or Madhuvanti or Marubihag or Patadeep or Shuddha Sarang or Shyam Kalyan
SNDPm, Bihag or Hameer or Kedar or Madhuvanti or Marubihag or Shuddha Kalyan or Shyam Kalyan or Yaman or Yaman Kalyan
SNDNS, Hameer
SNDmG, Hindol or Pooriya or Rajakalyan or Sohani
SNDmD, Hindol or Pooriya or Rajakalyan or Sohani
SNDmr, Pooriya
SNDnD, Bilawal or Chhayanat
SNrGM, Lalat
SNrGm, Pooriya or Poorvi
SNdMg, Chandrakauns
SNdMd, Chandrakauns
SNdPG, Ramakali
SNdPM, Bhairav or Jogiya or Kalingada or Kirvani or Nat Bhairav
SNdPN, Multani
SNdPm, Basant or Multani or Paraj or Poorvi or Ramakali or Todi
SNdPd, Bhairav or Jogiya or Kalingada or Kirvani or Nat Bhairav or Ramakali
SNdNd, Paraj
SNdmg, Gujari Todi
SNdmd, Gujari Todi or Lalat
SNdnd, Jogkauns
SrGMG, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMP, Ahir Bhairav or Bhairav or Kalingada
SrGPG, Bibhas or Jait
SrGPD, Jait
SrGPd, Bibhas
SrMPM, Bairagi or Gunakali or Jogiya
SrMPd, Gunakali or Jogiya
SrMPn, Bairagi
SrNDP, Bhatiyar
SrNdP, Shree
SrgMD, Parameshwari
SrgMg, Parameshwari
SrgPD, Salag Varali
SrgPg, Bhoopali Todi or Salag Varali
SrgPd, Bhoopali Todi or Bilaskhani Todi
Srgmg, Gujari Todi or Todi
Srgmd, Gujari Todi or Todi
SrmPN, Shree
SrmPd, Shree
SrndM, Bilaskhani Todi
SgMPM, Bhimpalasi or Dhani or Patadeep
SgMPN, Patadeep
SgMPg, Bhimpalasi
SgMPn, Bhimpalasi or Dhani
SgMDM, Bageshree or Bageshrikauns
SgMDn, Bageshree or Bageshrikauns
SgMrS, Bhairavi
SgMdM, Chandrakauns or Malkauns
SgMdP, Bhairavi
SgMdN, Chandrakauns
SgMdn, Bhairavi or Malkauns
SgmPN, Madhuvanti or Multani
SgmPm, Madhukauns or Madhuvanti or Multani
SgmPn, Madhukauns
SdPGP, Bibhas
SdPGr, Bibhas
SdPMP, Gunakali
