
SSRGS, Tilakakamod
SSRGM, Charukeshi or Chhayanat or Jaijaivanti or Ramadasimalhar
SSRGP, Bhoopali or Deshkar or Hansadhwani or Janasammohini or Shuddha Kalyan
SSRMP, Adana or Barawa or Vrindavani Sarang or Des or Durga or Jaunpuri or Kafi or Madmaad Sarang or Nayaki Kanada or Soora Malhar or Sorath or Tilakakamod or Jinjhoti
SSRMD, Gorakh Kalyan
SSRMg, Darbari Kanada
SSRgM, Abhogi or Kirvani or Shahanakanada
SSRgP, Kolahas or Shivaranjani
SSRgr, Bhairavi
SSRmP, Kamod or Saraswati or Shuddha Sarang or Shyam Kalyan
SSGRG, Bilawal
SSGMP, Bihag or Bihagda or Jog or Khamaj or Mand or Nand or Nat Bhairav or Tilanga
SSGMD, Bhinna Shadja or Rageshri
SSGMN, Hameer
SSGMd, Jogkauns or Ramakali
SSGPD, Kalavati
SSGPN, Shankara
SSGmP, Amritvarshini
SSGmD, Hindol or Sohani
SSGmd, Paraj
SSMRS, Jinjhoti
SSMRP, Gaud Malhar or Malhar
SSMGP, Kedar
SSMGm, Basant or Marubihag
SSMPn, Bahaar
SSPDM, Tilakakamod
SSDMg, Abhogi
SSDPG, Bhoopali or Deshkar or Jait or Kamod
SSDPM, Durga
SSDPg, Shivaranjani
SSNPG, Hansadhwani or Shankara
SSNPm, Amritvarshini
SSNDM, Bhinna Shadja
SSNDP, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SSNDm, Hindol or Pooriya or Rajakalyan or Sohani
SSNDn, Bilawal or Chhayanat
SSNdM, Chandrakauns
SSNdP, Basant or Bhairav or Jogiya or Kalingada or Kirvani or Multani or Nat Bhairav or Poorvi or Ramakali or Todi
SSNdN, Paraj
SSNdm, Gujari Todi or Lalat
SSNdn, Jogkauns
SSrGM, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SSrGP, Bibhas or Jait
SSrMP, Bairagi or Gunakali or Jogiya
SSrgM, Parameshwari
SSrgP, Bhoopali Todi or Bilaskhani Todi or Salag Varali
SSrgm, Gujari Todi or Todi
SSrmP, Shree
SSgMP, Bhimpalasi or Dhani or Patadeep
SSgMD, Bageshree or Bageshrikauns
SSgMd, Bhairavi or Chandrakauns or Malkauns
SSgmP, Madhukauns or Madhuvanti or Multani
SSdPG, Bibhas
SSdPM, Gunakali
SSdPg, Bhoopali Todi
SSdnP, Adana
SSnPG, Gaud Malhar or Tilanga
SSnPM, Bairagi or Vrindavani Sarang or Dhani or Jog or Madmaad Sarang
SSnPg, Bahaar or Malhar or Nayaki Kanada or Ramadasimalhar or Shahanakanada
SSnPm, Madhukauns
SSnDM, Bageshree or Bageshrikauns or Des or Gorakh Kalyan or Parameshwari or Rageshri or Jinjhoti
