
NmRPDS, Not Sure, /usr/bin/python3 /media/findprajju/PERSONAL/files/scripts/Python/testGuessRaga.pyPhrase, Computer Guesses, User Guesses
NGPSNG, Not Sure, /usr/bin/python3 /media/findprajju/PERSONAL/files/scripts/Python/testGuessRaga.pyPhrase, Computer Guesses, User Guesses
ngDMgr, Not Sure, Not Sure
gNPmdS, Not Sure, Not Sure
PdrSmd, Not Sure, Not Sure
gPSGdM, Not Sure, Not Sure
NDGPDG, Deshkar, Not Sure
GnSRgm, Asavari/Darbari Kanada/Kafi, Not Sure
NDPnSM, Bhimpalasi, Not Sure
nMGmNP, Not Sure, Not Sure
PnGNPG, Not Sure, Not Sure
nmdNPS, Not Sure, Not Sure
rNgPnG, Not Sure, Not Sure
RDmDNR, Yaman/Marwa, Not Sure
PrnDmP, Not Sure, Not Sure
PgSgNd, Not Sure, Not Sure
MRNdmP, Not Sure, Not Sure
nRSRMS, Sarang/Durga/Jaunpuri, Not Sure
ndNmSN, Not Sure, Not Sure
RDGSNg, Not Sure, Not Sure
DRNDgR, Bageshri, Not Sure
gdNDnd, Not Sure, Not Sure
dgdMnD, Not Sure, Not Sure
PDSGSn, Jhinjoti, Not Sure
dPNPDR, Not Sure, Not Sure
PDNdng, Not Sure, Not Sure
gPmDSG, Not Sure, Not Sure
ndSNDP, Yaman/Pooriya Kalyan/Maru Bihag/Bihag/Todi/Kedar, Not Sure
dSNmGS, Not Sure, Not Sure
nGdGDR, Not Sure, Not Sure
GdnGdm, Not Sure, Not Sure
DgMSRS, Not Sure, Not Sure
GDRMnd, Not Sure, Not Sure
rmPGSM, Not Sure, Not Sure
PmndRS, Not Sure, Not Sure
mSrmrm, Not Sure, Not Sure
NDmgrN, Not Sure, Not Sure
dnRNRd, Not Sure, Not Sure
gdPdgN, Not Sure, Not Sure
nrNrPD, Not Sure, Not Sure
rngNrD, Not Sure, Not Sure
NSmGdM, Not Sure, Not Sure
NrMNSd, Not Sure, Not Sure
gRPNgN, Not Sure, Not Sure
nGPmgn, Not Sure, Not Sure
RDSNmN, Not Sure, Not Sure
MdPGSd, Not Sure, Not Sure
dmNPSd, Not Sure, Not Sure
RgrGrG, Pooriya Kalyan, Not Sure
DgPGrS, Not Sure, Not Sure
RDRDGD, Not Sure, Not Sure
nMrDNd, Not Sure, Not Sure
DGMgmN, Not Sure, Not Sure
mSmRSg, Not Sure, Not Sure
MGRgdG, Not Sure, Not Sure
MSGNGr, Not Sure, Not Sure
mdSgSg, Dhani, Not Sure
PGdPmr, Not Sure, Not Sure
gDMSPd, Not Sure, Not Sure
